"Au_4h_D240_1" "Au_4h_D240_bis_2" "Au_4h_D240_3" "PEG_4h_D240_bis_5" "PEG_4h_D240_bis_6" "PEG_4h_D240_7" "Au_24h_D240_10" "Au_24h_D240_11" "Au_24h_D238_12" "PEG_24h_D240_13" "PEG_24h_D240_15" "PEG_24h_D240_16"
"eXT2" 0 1 0 0 0 0 0 0 0 0 0 0
"ACO1" 5 9 3 0 0 0 0 0 0 0 0 0
"MX2" 0 0 0 0 0 0 0 0 0 2 0 0
"SNRPN" 0 0 0 0 2 0 0 0 0 0 0 0
"RPL7" 0 0 0 0 3 0 0 0 0 0 4 0
"PSMB2" 0 2 0 0 1 0 0 0 0 0 0 0
"LAP3" 0 0 0 0 4 0 0 0 0 0 0 0
"TYROBP" 1 0 0 0 1 0 0 0 0 0 0 0
"TUBA3" 0 0 0 0 0 0 1 0 0 0 0 0
"CNP" 1 0 0 0 0 0 0 0 0 0 0 0
"TAF7" 1 0 0 0 1 0 0 0 0 0 0 0
"HBe4" 5 0 6 0 0 0 0 0 0 4 0 0
"CSNK1D" 1 0 0 0 2 0 0 0 0 0 0 0
"CLTC" 0 0 0 0 9 0 0 0 0 0 0 0
"ACTN3" 3 0 3 0 0 0 0 0 0 0 0 0
"DAW1" 0 0 0 0 0 0 0 0 0 0 1 0
"VAMP2" 0 0 0 0 1 0 0 0 0 0 1 0
"CRYBB1" 0 0 0 1 3 0 0 0 0 0 0 0
"KRT40" 0 0 0 3 37 0 0 0 0 0 0 0
"TUBA1C" 0 0 0 0 0 0 1 0 0 0 0 0
"PDLIM1" 0 2 0 0 0 0 0 0 0 0 0 0
"PSMB1" 4 0 1 0 0 0 0 0 0 0 0 0
"PRIMPOL" 0 1 0 0 0 0 0 0 0 0 0 0
"AOC3" 0 7 5 0 0 0 0 0 0 4 2 1
"SAR1A" 2 2 2 0 2 2 0 0 0 0 0 0
"KRT74" 0 0 0 0 9 7 0 0 0 4 0 0
"ARPC4" 3 3 3 0 3 2 0 0 0 0 0 0
"NMe1-1" 3 3 0 0 5 3 0 0 0 0 0 0
"USO1" 11 23 6 0 12 8 0 0 0 0 15 0
"NMe1-2" 3 3 0 0 5 3 0 0 0 0 0 0
"PDe12" 5 0 0 2 0 0 0 0 0 0 0 0
"GATC" 0 0 0 0 0 0 0 0 0 0 1 0
"MPV17L" 0 0 0 0 0 0 0 0 0 0 1 0
"S100A8" 4 0 0 0 0 0 0 0 0 0 0 0
"eMC10" 1 0 0 0 0 0 0 0 0 0 0 0
"RACK1" 0 0 0 0 3 0 0 0 0 0 0 0
"PLCD1" 0 0 0 0 6 0 0 0 0 0 0 0
"63258" 0 0 0 0 0 0 0 0 0 0 0 0
"PSMC4" 0 0 0 0 1 0 0 0 0 0 0 0
"PTPDC1" 0 0 4 0 0 0 0 0 0 4 0 0
"ACTN1" 4 3 5 0 0 0 0 0 0 0 7 0
"CAPZA2" 0 1 0 0 0 0 0 0 0 0 0 0
"COTL1" 4 0 0 0 0 0 0 0 0 0 0 0
"PReP" 0 0 0 0 3 0 0 0 0 0 0 0
"LUC7L3" 0 0 0 0 0 0 0 0 0 0 0 0
"GPATCH1" 0 0 0 2 0 0 0 0 0 0 0 0
"CNOT10" 0 0 0 0 0 0 0 0 0 0 2 0
"LDHAL6B" 3 0 3 0 0 0 0 0 0 0 0 0
"PGAM2" 5 0 0 0 0 0 0 0 0 0 0 0
"PTGDS" 0 0 1 0 0 0 0 0 0 1 0 0
"SLC20A2" 0 0 0 0 1 0 0 0 0 0 0 0
"UBB" 0 4 0 0 0 0 0 0 1 3 3 0
"SWAP70" 0 0 0 0 0 0 0 0 0 0 0 0
"HeXA" 0 0 0 2 0 0 0 0 0 0 0 0
"ANPeP" 0 0 0 0 0 0 0 0 0 0 0 2
"eIF3J" 1 0 0 0 0 0 0 0 0 0 0 0
"CYP19A1" 0 0 0 0 0 0 0 0 0 0 2 0
"ADH5" 0 0 0 0 0 0 0 0 0 0 4 0
"FeN1" 0 0 0 0 0 0 0 0 0 0 0 0
"RPS16" 2 0 0 0 1 0 0 0 0 0 0 0
"DPP6" 0 0 0 0 0 0 0 0 0 0 5 0
"DHX36" 0 0 0 0 0 0 0 0 0 1 0 0
"RPL6" 0 0 0 0 0 0 0 0 0 0 0 0
"ACTG2" 0 0 0 0 0 0 0 0 4 0 0 0
"PPP1CA" 1 0 0 0 0 0 0 0 0 0 0 0
"ADGRL3" 2 0 0 0 0 0 0 0 0 0 0 0
"RAB13" 5 4 3 0 0 4 0 0 0 0 4 0
"RAB7A" 3 0 0 0 0 2 0 0 0 0 0 0
"RPS3" 0 0 0 0 4 0 0 0 0 0 0 0
"PSMB3" 0 0 0 0 0 0 0 0 1 1 0 0
"eIF4A2" 0 0 0 0 0 0 0 0 0 0 1 0
"VAMP3" 0 0 0 0 1 0 0 0 0 0 1 0
"ZDHHC9" 0 0 0 0 2 0 0 0 0 0 0 0
"HGS" 0 0 0 0 1 0 0 0 0 2 0 4
"PLS1" 7 0 0 0 0 0 0 0 0 0 0 0
"BRCA1" 0 4 0 0 0 0 0 0 0 0 0 0
"RPL7A" 0 0 0 0 1 0 0 0 0 0 0 0
"ACTR2" 0 2 0 0 0 0 0 0 0 0 0 0
"ARHGeF9" 0 0 0 0 4 0 0 0 0 0 0 0
"PRND" 1 0 0 0 0 0 0 0 0 0 0 0
"ARF2" 0 0 0 0 0 0 0 1 2 0 0 0
"HPSe" 0 0 0 0 0 0 0 1 0 0 0 0
"PLA2G7" 0 0 0 0 0 0 0 0 0 0 2 0
"eNPP2" 0 3 0 0 0 0 0 0 0 0 0 0
"GOT1L1" 3 0 0 0 0 0 0 0 0 0 0 0
"SNRPB" 0 0 0 0 2 0 0 0 0 0 0 0
"MYLK" 0 0 0 0 0 0 0 0 0 0 2 4
"POLA2" 0 0 0 0 0 0 0 0 0 0 1 0
"CAPN2" 11 7 5 0 0 0 0 1 0 0 0 0
"ASL" 0 0 0 0 0 0 0 0 0 0 1 0
"SAT2" 0 0 0 0 0 0 0 0 0 0 0 2
"PPIC" 3 3 0 0 0 0 0 0 0 0 0 0
"CD14" 2 0 0 0 0 0 0 0 0 0 3 1
"GALM" 0 1 0 0 0 0 0 0 0 0 0 0
"GNAT2" 2 0 0 0 0 0 0 0 0 0 0 0
"SAA1" 2 1 1 0 0 0 0 0 0 0 0 0
"RPL27" 0 0 0 0 2 0 0 0 0 0 0 0
"ACTN2" 2 0 4 0 0 0 0 0 0 0 0 0
"AOCX" 7 6 0 0 0 0 0 0 0 4 2 0
"SeLeNOP" 3 4 2 0 0 0 0 0 0 0 0 0
"DNAJC12" 0 0 0 0 0 0 1 0 0 0 0 0
"ALDOB" 3 0 0 0 0 0 0 0 0 0 0 0
"QDPR" 0 2 0 0 0 0 0 0 0 0 0 0
"eeF2" 0 0 0 0 11 0 0 0 0 0 0 0
"ZFYVe27" 0 0 0 0 0 0 0 0 0 0 5 0
"C1S" 1 0 0 0 0 0 0 0 0 1 4 0
"MIF" 1 0 0 0 1 0 0 0 0 0 0 0
"ADSL" 0 4 0 0 0 0 0 0 0 0 0 0
"ARFIP2" 0 0 0 0 0 0 0 0 0 2 0 2
"DDX39B" 0 0 0 0 3 0 0 0 0 0 0 0
"VIM" 0 0 0 0 0 0 0 0 2 0 0 0
"GUF1" 0 0 0 0 0 0 0 0 0 0 7 0
"CATHL7" 0 0 1 0 0 0 0 0 0 0 0 0
"TIe1" 0 0 0 0 0 0 0 0 0 0 0 1
"CS" 0 0 0 0 0 0 0 0 0 0 0 0
"P68432" 0 0 0 0 12 0 0 0 0 0 0 0
"ascc3" 0 0 0 0 0 0 0 0 5 0 0 0
"PPP1CC" 1 0 0 0 0 0 0 0 0 0 0 0
"PPP2CB" 0 0 0 0 1 0 0 0 0 0 0 0
"eeF1G" 0 0 0 0 4 0 0 0 0 0 0 0
"PARK7" 0 0 0 0 3 0 0 0 0 0 0 0
"ATP5F1A" 0 0 0 0 1 0 0 0 0 0 0 0
"RPS8" 0 0 0 0 1 0 0 0 0 0 0 0
"MeA1" 0 0 0 0 1 0 0 0 0 0 0 0
"ACAP1" 0 0 0 0 0 0 0 0 0 0 1 2
"B4GAT1" 0 0 0 0 0 1 0 0 0 0 0 0
"TXN" 2 2 0 0 1 0 0 0 0 0 0 0
"SeC13" 0 0 0 0 0 0 0 0 0 0 2 0
"ADGRL2" 2 0 0 0 0 0 0 0 0 0 0 0
"CDC23" 0 0 0 1 0 0 0 0 0 0 0 0
"SeLeNBP1" 0 0 0 0 14 0 0 0 0 0 0 0
"APOBeC2" 0 0 0 0 0 0 0 0 0 0 1 0
"BHMT" 0 4 0 0 0 0 0 0 0 0 0 0
"COMT" 0 2 3 0 0 0 0 0 0 0 0 0
" K2CB" 0 0 10 0 0 0 0 0 0 0 0 0
"AMH" 0 0 0 0 5 0 0 0 0 0 0 0
"TNFAIP8" 0 0 0 0 0 0 2 2 0 0 0 0
"PSMA1" 6 0 7 0 0 0 0 0 0 0 0 0
"AP5B1" 0 0 0 0 0 0 0 0 0 0 4 0
"FAM174B" 0 0 0 0 1 0 0 0 0 0 0 0
"HPD" 4 0 0 0 0 0 0 0 0 0 2 0
"PYY2" 7 0 0 0 0 0 0 0 0 0 0 0
"TRIM2" 0 0 0 0 0 0 0 0 0 0 0 1
"ASPN" 0 0 0 0 0 0 0 0 0 0 10 0
"PGAM1" 0 2 0 0 0 0 0 0 0 0 1 0
"P4HB" 0 6 0 0 0 0 0 0 0 0 0 0
"HPCAL1" 0 3 0 0 0 0 0 0 0 0 0 0
"WDR18" 0 0 0 0 0 0 0 0 0 0 1 0
"KRT28" 10 12 0 6 0 0 0 0 0 0 0 9
"ZRANB3" 0 0 0 0 0 0 0 0 0 0 4 0
"SePTIN6" 0 2 0 0 0 0 0 0 0 0 0 0
"KRTAP10-8" 0 0 0 0 4 0 0 0 0 0 0 0
"CAPZA1" 0 2 0 0 0 0 0 0 0 0 0 0
"ST14" 0 0 0 0 0 0 0 0 0 0 0 1
"CDCA2" 0 0 0 0 3 0 0 0 0 0 0 0
"UBe2D1" 0 0 0 0 0 0 0 0 0 0 0 0
"CFL2" 0 0 0 0 0 3 0 0 0 0 0 0
"CMPK1" 0 0 0 0 0 0 0 5 0 0 0 0
"ACTA2" 0 0 0 0 0 0 0 0 4 0 0 0
"SPZ1" 0 0 0 0 0 0 6 0 0 0 0 0
"LYRM7" 0 0 0 0 0 0 0 3 0 0 0 0
"ANXA4" 0 0 0 0 1 0 0 0 0 0 0 0
"PAFAH1B1" 0 2 0 0 0 0 0 0 0 0 0 0
"ALYReF" 1 0 0 0 0 0 0 0 0 0 0 0
"GNB2" 0 1 0 0 0 0 0 0 0 0 0 0
"GeT4" 0 0 1 0 0 0 0 0 0 0 0 0
"GRB14" 0 0 0 0 0 8 0 0 0 0 0 0
"PROCR" 0 0 0 0 5 0 0 0 0 0 0 0
"PDIA3" 0 0 0 0 0 0 0 0 0 0 0 0
"ABAT" 0 0 0 0 1 0 0 0 0 0 0 0
"PFKL" 2 1 0 0 0 0 0 0 0 0 0 0
"DUSP14" 0 0 0 0 0 0 0 0 0 0 0 0
"TRMT5" 0 1 0 0 0 0 0 0 0 0 0 0
"BCL2L2" 0 0 0 0 0 0 0 0 0 0 1 0
"SMC3" 0 0 0 0 0 0 1 0 0 0 0 0
"PSMD2" 0 0 0 0 0 0 1 0 0 0 0 0
"PYGL" 0 5 0 0 0 0 0 0 0 0 0 0
"TMeM169" 0 0 0 0 0 0 0 0 0 0 2 0
"F11" 4 0 0 0 0 0 0 0 0 0 0 0
"TBX6" 0 0 0 0 0 0 0 0 0 0 4 0
"PSMA4" 0 0 0 0 0 2 0 0 0 0 0 0
"RPSA" 0 0 0 0 5 0 0 0 0 0 0 0
"ACTN4" 6 4 6 0 0 0 0 0 0 4 5 0
"DCXR" 4 3 0 0 0 0 0 0 0 0 0 0
"CCT6A" 0 0 0 0 0 0 0 3 0 0 0 0
"MMP2" 5 0 0 0 0 0 0 0 0 0 0 4
"PSMA6" 2 0 0 0 0 0 0 0 0 0 0 0
"H2AZ2" 0 0 0 0 0 3 0 0 0 0 0 0
"VTA1" 0 1 0 0 0 0 0 0 0 0 0 0
"CHRNA5" 6 0 0 0 0 0 0 0 0 0 0 0
"ALDH9A1" 5 2 0 0 0 0 0 0 0 0 0 0
"NNAT" 0 0 0 0 0 0 0 0 0 0 0 2
"ANXA8" 0 0 0 0 0 4 0 0 0 0 0 0
"NUDT11" 0 0 3 0 0 0 0 0 0 0 0 0
"COL11A2" 8 2 0 0 0 0 0 0 0 0 0 0
"Q5e9F8" 0 0 0 0 12 0 0 0 0 0 0 0
"C5" 0 0 0 0 0 0 0 0 0 0 2 0
"PCMTD1" 0 0 0 0 1 0 0 0 0 0 0 0
"RAB5A" 0 0 0 0 0 1 0 0 0 0 0 0
"FeM1C" 0 0 0 0 2 0 0 0 0 0 0 0
"VPS28" 0 3 0 0 0 0 0 0 0 0 0 0
"SLC25A5" 0 0 0 0 3 0 0 0 0 0 0 0
"CRYZL1" 0 0 0 0 0 4 0 0 0 0 0 0
"eXOC3" 0 0 0 0 0 0 0 0 0 0 4 0
"GNAT1" 3 0 0 0 0 0 0 0 0 0 0 0
"RPS4" 0 0 0 0 5 0 0 0 0 0 0 0
"TMeM134" 0 0 0 0 1 0 0 0 0 0 0 0
"NPB" 0 0 0 0 0 0 0 0 0 0 1 0
"RASA1" 0 0 0 0 0 0 0 0 0 0 3 0
"CUeDC2" 0 0 0 0 1 0 0 0 0 0 0 0
"RIBC1" 0 0 0 0 6 0 0 0 0 0 0 0
"RNPC3" 0 0 0 0 0 0 0 1 0 0 0 0
"TKTL2" 0 0 0 0 0 1 0 0 0 0 0 0
"RPL18A" 0 0 0 0 1 0 0 0 0 0 0 0
"UBe2D2" 0 0 0 0 0 0 0 0 0 0 0 0
"PRXL2B" 1 0 0 0 0 0 0 0 0 0 0 0
"CIMAP1C" 0 0 0 0 1 0 0 0 0 0 0 0
"IMP3" 0 0 0 0 0 1 0 0 0 0 0 0
"B2M" 2 0 0 0 0 0 0 0 1 1 1 0
"RPS3A" 0 0 9 0 0 0 0 0 0 0 0 0
"IDe" 0 0 0 0 0 5 0 0 0 0 0 0
"GNPTG" 0 0 0 0 0 0 0 0 0 0 3 0
"CFAP95" 1 0 0 0 1 0 0 0 0 0 0 0
"SNX11" 0 0 0 1 0 0 0 0 0 0 0 0
"ACP3" 0 0 0 0 3 0 0 0 0 0 0 0
"IGF1" 0 1 0 0 0 0 0 0 0 0 0 0
"SCARB1" 0 0 0 1 0 0 0 0 0 0 0 0
"GOT2" 0 0 0 0 2 0 0 0 0 0 0 0
"TPPP" 0 0 0 0 0 0 0 0 0 0 1 0
"ACAN" 0 0 0 0 0 0 0 0 2 0 0 0
"SAMD5" 0 0 0 0 0 0 0 0 0 0 2 0
"H3CL" 0 0 0 0 9 0 0 0 0 0 0 0
"RAB15" 0 0 0 0 0 5 0 0 0 0 0 0
"FND11" 0 0 0 0 2 0 0 0 0 0 0 0
"OXR1" 0 0 0 0 0 0 0 0 0 0 3 0
"PPP2CA" 0 0 0 0 1 0 0 0 0 0 0 0
"MDH2" 0 0 0 0 2 0 0 0 0 0 0 0
"SORD" 2 0 4 0 0 0 0 0 0 0 0 0
"eeF1B" 1 0 0 0 0 0 0 0 0 0 0 0
"BL3" 0 0 1 0 0 0 0 0 0 0 0 0
"MIA3" 0 0 0 0 0 0 0 0 2 0 0 0
"KLC3" 1 0 0 0 0 0 0 0 0 0 0 0
"RPS9" 0 0 0 0 3 0 0 0 0 0 0 0
"MRTO4" 2 0 0 0 0 0 0 0 0 0 0 0
"BTBD19" 0 0 0 0 1 0 0 0 0 0 0 0
"FAM124B" 0 0 0 0 0 0 0 0 0 0 2 0
"TNS4" 0 0 0 0 0 0 0 0 0 1 0 0
"CA141" 4 0 0 0 0 0 0 0 0 0 0 0
"RPL11" 0 0 0 0 1 0 0 0 0 0 0 0
"STK38" 0 0 0 0 0 0 0 0 0 0 1 0
"BTBD16" 0 0 3 0 0 0 0 0 0 0 0 0
"VWF" 0 1 0 0 0 0 0 0 0 0 3 0
"CTSB" 0 0 1 0 0 0 0 0 0 0 0 0
"RABeP2" 0 3 0 0 0 0 0 0 0 0 0 0
"QPCT" 2 0 0 0 0 0 0 0 0 0 0 0
"H2AZ1" 0 0 0 0 0 3 0 0 0 0 0 0
"DNTTIP1" 0 0 0 0 0 0 0 0 0 0 1 0
"AMDHD1" 0 0 0 0 0 0 1 0 0 0 0 0
"PSMA3" 2 0 0 0 0 0 0 0 0 0 0 0
"OCC1" 0 0 0 0 1 0 0 0 0 0 0 0
"TIMM10B" 0 0 0 0 0 0 0 0 0 0 0 0
"ACO2" 0 0 0 0 0 0 0 0 0 0 3 0
"SLC25A6" 0 0 0 0 3 0 0 0 0 0 0 0
"GTF2B" 0 0 0 0 0 0 0 0 0 0 0 0
"RUNDC3A" 0 0 0 0 0 2 0 0 0 0 0 0
"SLC25A4" 0 0 0 0 3 0 0 0 0 0 0 0
"TGM2" 0 0 0 0 0 0 0 0 0 0 12 0
"JAKMIP1" 0 0 0 0 0 0 0 0 0 0 0 0
"LYPLA1" 0 0 0 0 1 0 0 0 0 0 0 0
"A5PK26" 0 0 0 0 0 0 0 0 0 0 2 0
"PKP3" 0 0 0 0 7 0 0 0 0 0 0 0
"eNTPD1" 0 0 0 0 0 0 0 0 0 0 0 0
"MAPK1" 1 0 0 0 0 0 0 0 0 0 0 0
"NMI" 3 0 0 0 0 0 0 0 0 0 2 0
"eTV1" 0 0 0 0 0 3 0 0 0 0 0 0
"K2CA" 0 0 0 0 0 6 0 0 0 0 0 0
"FANCD2OS" 0 0 0 0 0 0 0 0 0 0 5 0
"ST6GAL2" 0 0 0 0 0 0 0 0 0 0 0 0
"CALM" 0 0 0 0 0 0 0 0 0 0 0 0
"TRPC4" 0 0 0 0 0 0 0 0 0 0 0 0
"ARPC1A" 0 0 0 0 0 0 0 0 0 0 0 0
"KRT14" 0 0 0 0 0 0 0 0 0 0 0 0
"H1-1" 0 0 0 0 0 0 0 0 0 0 0 0
"CALD1" 0 0 0 0 0 0 0 0 0 0 0 0
"LASP1" 0 0 0 0 0 0 0 0 0 0 0 0
"RPLP2" 0 0 0 0 0 0 0 0 0 0 0 0
"IBPS" 0 0 0 0 0 0 0 0 0 0 0 0
"ARPC3" 0 0 0 0 0 0 0 0 0 0 0 0
"FRZB" 0 0 0 0 0 0 0 0 0 0 0 0
"YBX1" 0 0 0 0 0 0 0 0 0 0 0 0
"MCTS1" 0 0 0 0 0 0 0 0 0 0 0 0
"RGS10" 0 0 0 0 0 0 0 0 0 0 0 0
"TAGLN" 0 0 0 0 0 0 0 0 0 0 0 0
"PIN1" 0 0 0 0 0 0 0 0 0 0 0 0
"eIF2S2" 0 0 0 0 0 0 0 0 0 0 0 0
"LTA4H" 0 0 0 0 0 0 0 0 0 0 0 0
"WARS1" 0 0 0 0 0 0 0 0 0 0 0 0
"DNAJB1" 0 0 0 0 0 0 0 0 0 0 0 0
"STIP1" 0 0 0 0 0 0 0 0 0 0 0 0
